"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Lysias 31, Against Philon",-400.0,4.0,11.0,
"Lysias 32, Against Diogeiton",-398.0,7.0,8.0,
"Lysias 33, Olympic Oration",-388.0,2.0,2.0,
"Lysias 34, Against Subversion of the Ancestral Constitution",-403.0,6.0,11.0,
"Lysias 4, On A Wound By Premeditation",-400.0,0.0,0.0,
"Lysias 5, For Callias",-400.0,0.0,0.0,
"Lysias 6, Against Andocides",-400.0,19.0,30.0,
"Lysias 7, Defense in the Matter of the Olive Stump",-390.0,4.0,4.0,
"Lysias 8, Accusation of Calumny",-400.0,1.0,1.0,
"Lysias 9, For the Soldier",-400.0,0.0,0.0,
Madaba Mosaic Map,550.0,39.0,43.0,
"Malalas, Chronography Bks 1-7, 10-18",565.0,302.0,1756.0,
"Malalas, Chronography Bks 8-9",565.0,66.0,202.0,
"Marcellinus, Life of Thucydides",500.0,32.0,74.0,
"Marcellus, poem to Regilla in the Triopion",160.0,10.0,14.0,
"Marcianus, Epitome of Menippus' Periplus",350.0,51.0,101.0,
"Marinus, Life of Proclus",485.0,23.0,38.0,
"Mark the Deacon, Life of Porphyry",450.0,18.0,64.0,
"Marmor Parium, Chronicle",-263.0,97.0,244.0,
"Martial, Epigrams",100.0,273.0,956.0,
"Menander, Dyskolos (the Grouch)",-317.0,9.0,14.0,
"Minucius Felix, Octavius",200.0,46.0,68.0,
Mosaic of Rehob,600.0,11.0,16.0,
"Musaeus, Hero and Leander",500.0,12.0,18.0,
"Nepos, Life of Agesilaus",-40.0,15.0,24.0,
"Nepos, Life of Alcibiades",-40.0,26.0,49.0,
"Nepos, Life of Aristides",-40.0,5.0,7.0,
"Nepos, Life of Atticus",-40.0,11.0,24.0,
"Nepos, Life of Cato",-40.0,8.0,9.0,
"Nepos, Life of Chabrias",-40.0,11.0,17.0,
"Nepos, Life of Cimon",-40.0,12.0,16.0,
"Nepos, Life of Conon",-40.0,16.0,26.0,
"Nepos, Life of Datames",-40.0,18.0,32.0,
"Nepos, Life of Dion",-40.0,10.0,23.0,
"Nepos, Life of Epaminondas",-40.0,13.0,29.0,
"Nepos, Life of Eumenes",-40.0,12.0,23.0,
"Nepos, Life of Hamilcar",-40.0,7.0,9.0,
"Nepos, Life of Hannibal",-40.0,36.0,63.0,
"Nepos, Life of Iphicrates",-40.0,7.0,9.0,
"Nepos, Life of Lysander",-40.0,10.0,12.0,
"Nepos, Life of Miltiades",-40.0,24.0,43.0,
"Nepos, Life of Pausanias",-40.0,14.0,25.0,
"Nepos, Life of Pelopidas",-40.0,11.0,22.0,
"Nepos, Life of Phocion",-40.0,4.0,9.0,
"Nepos, Life of Themistocles",-40.0,26.0,48.0,
"Nepos, Life of Thrasybulus",-40.0,9.0,12.0,
"Nepos, Life of Timoleon",-40.0,5.0,14.0,
"Nepos, Life of Timotheus",-40.0,17.0,22.0,
"Nepos, on the Kings",-40.0,11.0,11.0,
"Nicander, Alexipharmaca",-150.0,27.0,34.0,
"Nicander, Theriaca",-150.0,36.0,43.0,
"Nicola de Martoni, Pilgrimage to the Holy Places (parts I, 7-12)",1395.0,76.0,196.0,
"Nicolaus of Damascus, Life of Augustus",14.0,37.0,89.0,
"Niketas Choniates, Annals",1215.0,258.0,1881.0,
"Nonnus, Dionysiaca",400.0,0.0,0.0,
"Olympiodorus, Life of Plato",530.0,17.0,22.0,
"Oppian of Apamea, Cynegetica or The Chase",212.0,69.0,121.0,
"Oppian, Halieutica or Fishing",180.0,43.0,65.0,
Orphic Argonautica,350.0,134.0,192.0,
"Ovid, Art of Love",2.0,82.0,131.0,
"Ovid, Fasti",17.0,226.0,497.0,
"Ovid, Letters from Pontus",15.0,119.0,271.0,
"Ovid, Metamorphoses",8.0,368.0,936.0,
"Ovid, Tristia (Letters from Exile)",12.0,114.0,265.0,
"Palaephatus, On Unbelievable Things",-300.0,71.0,101.0,
"Parthenius, Love Romances",-30.0,66.0,106.0,
"Pausanias, Description of Greece",178.0,1378.0,10772.0,
Periplus of Hanno,-300.0,5.0,11.0,
Periplus of the Erythraean Sea,50.0,39.0,149.0,
"Persius, Satires",62.0,38.0,40.0,
"Petronius, Satyricon",60.0,83.0,134.0,
"Philostratus, Heroica",240.0,128.0,335.0,
"Philostratus, Imagines",245.0,99.0,203.0,
"Philostratus, Life of Apollonius of Tyana",240.0,272.0,1084.0,
"Philostratus, Lives of the Sophists",237.0,175.0,554.0,
"Phlegon, Book of Marvels",140.0,55.0,104.0,
"Photius, Bibliotheca excerpts",850.0,284.0,871.0,
"Pindar, Isthmian Odes",-455.0,49.0,96.0,
"Pindar, Nemean Odes",-455.0,71.0,141.0,
"Pindar, Olympian Odes",-455.0,74.0,196.0,
"Pindar, Pythian Odes",-455.0,86.0,189.0,
"Plato, Apology",-380.0,18.0,41.0,
"Plato, Charmides",-380.0,4.0,4.0,
"Plato, Critias",-370.0,18.0,25.0,
"Plato, Crito",-380.0,10.0,16.0,
"Plato, Euthydemus",-369.0,11.0,16.0,
"Plato, Euthyphro",-380.0,6.0,8.0,
"Plato, Gorgias",-380.0,22.0,45.0,
"Plato, Hipparchus",-375.0,5.0,5.0,
"Plato, Hippias Major",-390.0,11.0,22.0,
"Plato, Ion",-390.0,14.0,17.0,
"Plato, Laws",-355.0,67.0,227.0,
"Plato, Lysis",-380.0,8.0,10.0,
"Plato, Parmenides",-380.0,6.0,8.0,
"Plato, Phaedo",-369.0,19.0,33.0,
"Plato, Phaedrus",-369.0,26.0,35.0,
"Plato, Protagoras",-375.0,28.0,42.0,
"Plato, Republic",-380.0,44.0,73.0,
"Plato, Symposium",-380.0,15.0,22.0,
"Plato, Timaeus",-370.0,8.0,14.0,
"Pliny the Elder, Natural History (37 books)",77.0,2816.0,9589.0,
"Pliny the Younger, Letters",112.0,95.0,300.0,
"Plutarch, A Breviate of A Discourse on the Stoics, Moralia",102.0,1.0,1.0,
"Plutarch, Against Colotes, Moralia",102.0,23.0,34.0,
"Plutarch, Against Running In Debt, or Taking Up Money Upon Usury, Moralia",102.0,15.0,19.0,
"Plutarch, Agis and Cleomenes and the Gracchi Compared",110.0,8.0,11.0,
"Plutarch, Ancient Customs of Sparta (Instituta Laconica), Moralia",102.0,9.0,16.0,
"Plutarch, Banquet of the Seven Wise Men, Moralia",102.0,37.0,66.0,
"Plutarch, Camillus",110.0,65.0,243.0,
"Plutarch, Cato the Younger",110.0,53.0,159.0,
"Plutarch, Cicero",110.0,54.0,165.0,
"Plutarch, Comparison Betwixt Aristophanes and Menander, Moralia",102.0,0.0,0.0,
"Plutarch, Comparison of Agesilaus and Pompey",110.0,12.0,28.0,
"Plutarch, Comparison of Alcibiades and Coriolanus",110.0,7.0,13.0,
"Plutarch, Comparison of Aristides and Cato",110.0,8.0,15.0,
"Plutarch, Comparison of Cimon and Lucullus",110.0,17.0,19.0,
"Plutarch, Comparison of Demetrius and Antony",110.0,9.0,11.0,
"Plutarch, Comparison of Demosthenes and Cicero",110.0,6.0,10.0,
"Plutarch, Comparison of Dion and Brutus",110.0,6.0,10.0,
"Plutarch, Comparison of Eumenes and Sertorius",110.0,5.0,6.0,
"Plutarch, Comparison of Lycurgus and Numa",110.0,3.0,9.0,
"Plutarch, Comparison of Lysander and Sulla",110.0,11.0,21.0,
"Plutarch, Comparison of Nicias and Crassus",110.0,22.0,30.0,
"Plutarch, Comparison of Pelopidas and Marcellus",110.0,13.0,21.0,
"Plutarch, Comparison of Pericles and Fabius Maximus",110.0,11.0,18.0,
"Plutarch, Comparison of Philopoemen and Titus",110.0,8.0,16.0,
"Plutarch, Comparison of Solon and Publicola",110.0,5.0,10.0,
"Plutarch, Comparison of Theseus and Romulus",110.0,10.0,13.0,
"Plutarch, Comparison of Timoleon and Aemilius",110.0,7.0,9.0,
"Plutarch, Concerning Socrates's Daemon, Moralia (De genio Socratis)",102.0,34.0,66.0,
"Plutarch, Concerning Such Whom God Is Slow To Punish, Moralia",102.0,62.0,82.0,
"Plutarch, Concerning the Cure of Anger, Moralia",102.0,13.0,18.0,
"Plutarch, Concerning the First Principle of Cold, Moralia",102.0,10.0,10.0,
"Plutarch, Concerning the Fortune of the Romans, Moralia",102.0,44.0,67.0,
"Plutarch, Concerning the Procreation of the Soul, Moralia",102.0,3.0,4.0,
"Plutarch, Concerning the Virtues of Women, Moralia",102.0,62.0,93.0,
"Plutarch, Conjugal Precepts, Moralia",102.0,14.0,15.0,
"Plutarch, Consolation To Apollonius, Moralia",102.0,20.0,23.0,
"Plutarch, Consolatory Letter To His Wife, Moralia",102.0,2.0,2.0,
"Plutarch, Contradictions of the Stoics, Moralia",102.0,14.0,17.0,
"Plutarch, Fabius Maximus",110.0,35.0,130.0,
"Plutarch, Five Tragical Histories of Love, Moralia (Am. Narr.)",102.0,29.0,39.0,
"Plutarch, Fortune or Virtue of Alexander the Great, First Oration, Moralia",102.0,69.0,143.0,
"Plutarch, Galba",110.0,21.0,53.0,
"Plutarch, Greek Questions, Moralia",102.0,110.0,190.0,
"Plutarch, How A Man May Be Sensible of His Progress In Virtue, Moralia",102.0,17.0,20.0,
"Plutarch, How A Man May Praise Himself Without Being Liable To Envy, Moralia",102.0,19.0,28.0,
"Plutarch, How A Man May Receive Advantage From His Enemies, Moralia",102.0,6.0,6.0,
"Plutarch, How A Young Man Ought To Hear Poems, Moralia (Quomodo adul.)",102.0,17.0,28.0,
"Plutarch, How To Know A Flatterer From A Friend, Moralia",102.0,26.0,42.0,
"Plutarch, If Philosophers Ought Chiefly To Converse With Great Men, Moralia",102.0,6.0,6.0,
"Plutarch, Laconic Apophthegms, Moralia",102.0,71.0,270.0,
"Plutarch, Life of Aemilius Paullus",110.0,64.0,152.0,
"Plutarch, Life of Agesilaus",110.0,70.0,274.0,
"Plutarch, Life of Agis",110.0,26.0,63.0,
"Plutarch, Life of Alcibiades",110.0,77.0,267.0,
"Plutarch, Life of Alexander",110.0,129.0,342.0,
"Plutarch, Life of Antony",110.0,107.0,287.0,
"Plutarch, Life of Aratus",110.0,74.0,324.0,
"Plutarch, Life of Aristides",110.0,56.0,210.0,
"Plutarch, Life of Artaxerxes",110.0,25.0,76.0,
"Plutarch, Life of Brutus",110.0,55.0,123.0,
"Plutarch, Life of Caesar",110.0,88.0,204.0,
"Plutarch, Life of Cato the Elder",110.0,39.0,77.0,
"Plutarch, Life of Cimon",110.0,83.0,189.0,
"Plutarch, Life of Cleomenes",110.0,64.0,273.0,
"Plutarch, Life of Coriolanus",110.0,25.0,100.0,
"Plutarch, Life of Crassus",110.0,41.0,136.0,
"Plutarch, Life of Demetrius",110.0,110.0,278.0,
"Plutarch, Life of Demosthenes",110.0,65.0,158.0,
"Plutarch, Life of Dion",110.0,43.0,217.0,
"Plutarch, Life of Eumenes",110.0,26.0,77.0,
"Plutarch, Life of Gaius Gracchus",110.0,23.0,62.0,
"Plutarch, Life of Lucullus",110.0,101.0,256.0,
"Plutarch, Life of Lycurgus",110.0,38.0,116.0,
"Plutarch, Life of Lysander",110.0,71.0,236.0,
"Plutarch, Life of Marcellus",110.0,50.0,139.0,
"Plutarch, Life of Marius",110.0,56.0,132.0,
"Plutarch, Life of Nicias",110.0,70.0,256.0,
"Plutarch, Life of Pelopidas",110.0,61.0,244.0,
"Plutarch, Life of Pericles",110.0,91.0,232.0,
"Plutarch, Life of Philopoemen",110.0,28.0,135.0,
"Plutarch, Life of Phokion",110.0,60.0,169.0,
"Plutarch, Life of Pompey",110.0,129.0,341.0,
"Plutarch, Life of Pyrrhus",110.0,70.0,235.0,
"Plutarch, Life of Sertorius",110.0,37.0,86.0,
"Plutarch, Life of Solon",110.0,56.0,138.0,
"Plutarch, Life of Sulla",110.0,110.0,230.0,
"Plutarch, Life of Themistocles",110.0,97.0,211.0,
"Plutarch, Life of Theseus",110.0,94.0,216.0,
"Plutarch, Life of Tiberius Gracchus",110.0,17.0,52.0,
"Plutarch, Life of Timoleon",110.0,46.0,286.0,
"Plutarch, Life of Titus Flamininus",110.0,61.0,139.0,
"Plutarch, Lives of the Ten Orators, Moralia",102.0,119.0,279.0,
"Plutarch, Natural Questions, Moralia",102.0,9.0,10.0,
"Plutarch, Not Possible To Live Pleasurably According To Epicurus, Moralia",102.0,31.0,40.0,
"Plutarch, Numa",110.0,31.0,81.0,
"Plutarch, Of Bashfulness, Moralia",102.0,10.0,13.0,
"Plutarch, Of Brotherly Love, Moralia",102.0,20.0,26.0,
"Plutarch, Of Common Conceptions, Against the Stoics, Moralia",102.0,14.0,18.0,
"Plutarch, Of Curiosity, Moralia",102.0,11.0,13.0,
"Plutarch, Of Eating Flesh. Tract I, Moralia",102.0,4.0,5.0,
"Plutarch, Of Eating Flesh. Tract II, Moralia",102.0,3.0,3.0,
"Plutarch, Of Envy and Hatred, Moralia",102.0,5.0,5.0,
"Plutarch, Of Fate, Moralia",102.0,2.0,2.0,
"Plutarch, Of Fortune, Moralia",102.0,2.0,2.0,
"Plutarch, Of Garrulity, or Talkativeness, Moralia",102.0,28.0,37.0,
"Plutarch, Of Hearing, Moralia (de audiendi)",102.0,3.0,5.0,
"Plutarch, Of Herodotus's Malice, Moralia",102.0,84.0,218.0,
"Plutarch, Of Isis and Osiris, Moralia",102.0,53.0,140.0,
"Plutarch, Of Large Acquaintance, Moralia",102.0,2.0,2.0,
"Plutarch, Of Love, Moralia (Amat.)",102.0,52.0,86.0,
"Plutarch, Of Moral Virtue, Moralia",102.0,5.0,5.0,
"Plutarch, Of Natural Affection Towards One's Offspring, Moralia",102.0,2.0,2.0,
"Plutarch, Of Superstition or Indiscreet Devotion, Moralia",102.0,13.0,14.0,
"Plutarch, Of the Face Appearing Within the Orb of the Moon, Moralia",102.0,27.0,34.0,
"Plutarch, Of the Love of Wealth, Moralia",102.0,11.0,12.0,
"Plutarch, Of the Three Sorts of Government, Moralia",102.0,4.0,4.0,
"Plutarch, Of the Tranquillity of the Mind, Moralia",102.0,21.0,24.0,
"Plutarch, Of the Word Ei At Delphi, Moralia",102.0,10.0,14.0,
"Plutarch, Of Virtue and Vice, Moralia",102.0,0.0,0.0,
"Plutarch, On Exile/Banishment, or Flying One's Country, Moralia",102.0,89.0,128.0,
"Plutarch, Otho",110.0,27.0,54.0,
"Plutarch, Parallels Between Greek and Roman Histories, Moralia",102.0,70.0,154.0,
"Plutarch, Plutarch's Platonic Questions, Moralia",102.0,6.0,6.0,
"Plutarch, Political Precepts, Moralia",102.0,61.0,108.0,
"Plutarch, Publicola",110.0,20.0,86.0,
"Plutarch, Quaestiones Convivales - Symposiacs, Moralia",102.0,107.0,231.0,
"Plutarch, Roman Questions, Moralia",102.0,44.0,92.0,
"Plutarch, Romulus",110.0,47.0,147.0,
"Plutarch, Rules For the Preservation of Health, Moralia",102.0,16.0,19.0,
"Plutarch, Sayings of Kings and Commanders, Moralia",102.0,94.0,254.0,
"Plutarch, That Brute Beasts Make Use of Reason, Moralia",102.0,18.0,21.0,
"Plutarch, That Virtue May Be Taught, Moralia",102.0,2.0,2.0,
"Plutarch, To An Unlearned Prince, Moralia",102.0,7.0,7.0,
"Plutarch, Training of Children, Moralia",102.0,13.0,21.0,
"Plutarch, Were Athenians More Renowned For War or Learning, Moralia",102.0,52.0,95.0,
"Plutarch, Whether 'Twere Rightly Said, Live Concealed, Moralia",102.0,6.0,7.0,
"Plutarch, Whether An Aged Man Ought To Meddle In State Affairs, Moralia",102.0,24.0,35.0,
"Plutarch, Whether Passions of the Soul or Body Diseases Are Worse, Moralia",102.0,1.0,1.0,
"Plutarch, Whether Vice Is Sufficient To Render A Man Unhappy, Moralia",102.0,10.0,10.0,
"Plutarch, Whether Water or Fire Be Most Useful, Moralia",102.0,2.0,2.0,
"Plutarch, Which Animals Are the Craftiest, Moralia",102.0,51.0,67.0,
"Plutarch, Why the Oracles Cease To Give Answers, Moralia",102.0,64.0,98.0,
"Plutarch, Why the Pythian Priestess No Longer Gives Oracles In Verse, Moralia",102.0,54.0,80.0,
"Polyaenus, Strategems",163.0,353.0,1469.0,
"Polybius, Histories",-130.0,745.0,7580.0,
"Pomponius Mela, Chorographia",43.0,896.0,1512.0,
"Porphyry, De abstinentia",275.0,62.0,135.0,
"Priests of Asclepius, Epidaurus Cure Inscriptions",-350.0,34.0,71.0,
"Priests of Asclepius, Thearodokoi Inscriptions",-360.0,90.0,95.0,
"Procopius, History of the Wars",553.0,339.0,3273.0,
"Procopius, On Buildings",558.0,244.0,810.0,
"Procopius, Secret History (Anecdota)",560.0,83.0,269.0,
"Pseudo Scylax, Periplous",-335.0,711.0,1084.0,
"Pseudo Scymnus or Pausanias of Damascus, Circuit of the Earth",-100.0,321.0,508.0,
"Pseudo-Aristotle, On the Universe (De Mundi)",-1.0,51.0,73.0,
"Pseudo-Epiphanius, Notitia Episcopatuum",640.0,392.0,461.0,
"Pseudo-Plato, Axiochus",-100.0,14.0,16.0,
"Pseudo-Plato, Eryxias",-100.0,18.0,21.0,
"Pseudo-Plato, Menexenus",-369.0,37.0,69.0,
"Pseudo-Plutarch, Names of Rivers and Mountains",150.0,96.0,164.0,
"Pseudo-Plutarch, On Music",150.0,43.0,82.0,
"Pseudo-Plutarch, Placita Philosopharum",150.0,25.0,33.0,
"Pseudo-Xenophon, Constitution of Athens",-360.0,13.0,35.0,
"Ptolemaeus, Geography (II-VI)",160.0,1993.0,3054.0,
"Quintus Smyrnaeus, Posthomerica",350.0,120.0,736.0,
"Rutilius Namatianus, On His Return to Gaul",416.0,57.0,91.0,
"Sallust, Jugurthine War",-40.0,38.0,236.0,
"Sallust, War with Catiline",-40.0,31.0,78.0,
"Scriptores Historia Augusta, Aelius",360.0,6.0,6.0,
"Scriptores Historia Augusta, Alexander Severus",360.0,33.0,74.0,
"Scriptores Historia Augusta, Antoninus Caracalla",360.0,20.0,24.0,
"Scriptores Historia Augusta, Antoninus Geta",360.0,5.0,6.0,
"Scriptores Historia Augusta, Antoninus Heliogobalus",360.0,25.0,45.0,
"Scriptores Historia Augusta, Antoninus Pius",360.0,37.0,46.0,
"Scriptores Historia Augusta, Avidius Casius",360.0,12.0,18.0,
"Scriptores Historia Augusta, Carus, Carinus, and Numerianus",360.0,19.0,35.0,
"Scriptores Historia Augusta, Clodius Albinus",360.0,15.0,27.0,
"Scriptores Historia Augusta, Commodus Antoninus",360.0,20.0,32.0,
"Scriptores Historia Augusta, Deified Aurelianus",360.0,60.0,143.0,
"Scriptores Historia Augusta, Deified Claudius",360.0,38.0,59.0,
"Scriptores Historia Augusta, Diadumenus Antoninus",360.0,6.0,8.0,
"Scriptores Historia Augusta, Didius Julianus",360.0,18.0,19.0,
"Scriptores Historia Augusta, Firmus Saturninus, Proculus, and Bonosus",360.0,20.0,30.0,
"Scriptores Historia Augusta, Life of Hadrian",360.0,67.0,111.0,
"Scriptores Historia Augusta, Marcus Aurelius",360.0,49.0,85.0,
"Scriptores Historia Augusta, Maximus and Balbinus",360.0,25.0,40.0,
"Scriptores Historia Augusta, Opilius Macrinus",360.0,11.0,15.0,
"Scriptores Historia Augusta, Pertinax",360.0,19.0,23.0,
"Scriptores Historia Augusta, Pescennius Niger",360.0,18.0,25.0,
"Scriptores Historia Augusta, Probus",360.0,33.0,67.0,
"Scriptores Historia Augusta, Severus",360.0,49.0,86.0,
"Scriptores Historia Augusta, Tacitus",360.0,30.0,39.0,
"Scriptores Historia Augusta, Thirty Pretenders",360.0,54.0,87.0,
"Scriptores Historia Augusta, Three Gordians",360.0,38.0,65.0,
"Scriptores Historia Augusta, two Gallieni",360.0,43.0,82.0,
"Scriptores Historia Augusta, Two Maximini",360.0,21.0,45.0,
"Scriptores Historia Augusta, Two Valerians",360.0,13.0,19.0,
"Scriptores Historia Augusta, Verus",360.0,27.0,37.0,
Sencer Şahin (ed) Stadiasmus Patarensis,46.0,37.0,94.0,
"Seneca, Apocolocyntosis/Pumpkinification of Claudius",55.0,23.0,34.0,
"Seneca, Letters to Lucilius",64.0,78.0,144.0,
"Seneca, Natural Questions",60.0,132.0,254.0,
"Seneca, On Consolation to Helvia",41.0,30.0,38.0,
"Septuagint, 1 Maccabees",-100.0,65.0,256.0,
"Septuagint, 2 Maccabees",-100.0,39.0,130.0,
"Servius, Commentary on Virgil's Aeneid",420.0,0.0,0.0,
"Shapur I, Res Gestae inscription",265.0,73.0,98.0,
Sibylline Oracles,500.0,185.0,653.0,
"Sidonius Apollinaris, Letters",488.0,153.0,286.0,
"Sidyma city, Tituli Asia Minoris 2.174",180.0,7.0,10.0,
"Silius Italicus, Punica",90.0,483.0,2089.0,
"Solinus, Polyhistor",300.0,591.0,1407.0,
"Sophocles, Ajax",-440.0,22.0,39.0,
"Sophocles, Antigone",-440.0,19.0,32.0,
"Sophocles, Electra",-410.0,20.0,35.0,
"Sophocles, Oedipus in Colonos",-440.0,19.0,56.0,
"Sophocles, Oedipus Rex",-429.0,20.0,52.0,
"Sophocles, Philoctetes",-409.0,21.0,70.0,
"Sophocles, Trachinian Women",-430.0,25.0,47.0,
"Sozomenos, Ecclesiastical History",450.0,220.0,1488.0,
"St. Jerome, Chronicon",380.0,434.0,1699.0,
"St. Luke, Acts of the Apostles",64.0,102.0,332.0,
"Statius, Silvae",95.0,286.0,787.0,
"Statius, The Achilleid",92.0,100.0,198.0,
"Statius, Thebaid",92.0,318.0,1387.0,
"Stephanus of Byzantium, Ethnica",500.0,2125.0,7463.0,
"Strabo, Geography",24.0,2320.0,15359.0,
Suda Encyclopedia,950.0,1046.0,6690.0,
"Suetonius, Lives of the 12 Caesars",120.0,286.0,1103.0,
"Suetonius, On Grammarians",120.0,24.0,35.0,
"Suetonius, On Rhetoricians",120.0,11.0,13.0,
"Synesius, Letters",413.0,49.0,86.0,
"Tacitus, Agricola",98.0,25.0,79.0,
"Tacitus, Annals",117.0,351.0,1411.0,
"Tacitus, Germania",98.0,28.0,59.0,
"Tacitus, Histories",110.0,216.0,1087.0,
"Tatian, Address to the Greeks",160.0,53.0,95.0,
"Teles, On Exile (fragments)",-240.0,13.0,16.0,
"Teles, On Self-Sufficiency (fragments)",-240.0,5.0,5.0,
"Tertullian, Defence of the Christians (Apologeticus)",200.0,78.0,125.0,
"Theodoret, Letters (selected)",450.0,25.0,47.0,
"Theognis, Elegies",-550.0,21.0,35.0,
"Theophrastus, Characters",-300.0,23.0,32.0,
"Theophrastus, Enquiry Into Plants",-300.0,186.0,579.0,
"Theophrastus, On Stones",-313.0,55.0,83.0,
"Theophrastus, On Weather Signs",-300.0,19.0,29.0,
"Theophrastus, On Winds",-300.0,35.0,46.0,
"Thucydides, Peloponnesian War",-395.0,610.0,5152.0,
"Tryphiodorus, The Taking of Ilion",300.0,16.0,73.0,
"Tzetzes, Ad Lycophronem",1100.0,543.0,2332.0,
"Varro, On Agriculture",-36.0,145.0,319.0,
"Varro, On the Latin Language",-50.0,124.0,281.0,
"Velleius Paterculus, Roman History",30.0,239.0,586.0,
"Vienna Anonymous, Theaters and Schools of Athens",1300.0,18.0,20.0,
"Virgil, Aeneid",-19.0,290.0,973.0,
"Virgil, Eclogues",-38.0,55.0,82.0,
"Virgil, Georgics",-29.0,145.0,216.0,
"Virgilian Appendix, Ciris",50.0,47.0,52.0,
"Vitruvius, Architecture",-15.0,228.0,488.0,
"Xenophon, Agesilaus",-358.0,57.0,141.0,
"Xenophon, Anabasis",-370.0,144.0,724.0,
"Xenophon, Cavalry Commander/Hipparchicus",-360.0,12.0,22.0,
"Xenophon, Constitution of the Lacedaemonians",-360.0,6.0,30.0,
"Xenophon, Cyropaedia",-370.0,38.0,572.0,
"Xenophon, Hellenika",-358.0,341.0,2644.0,
"Xenophon, Memorabilia of Socrates",-370.0,35.0,79.0,
"Xenophon, Oeconomicus",-355.0,12.0,18.0,
"Xenophon, On Hunting/Cynegeticus",-360.0,15.0,18.0,
"Xenophon, On Ways and Means (Revenues)",-354.0,20.0,42.0,
"Zosimus, New History",515.0,245.0,1206.0,
