"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Cicero, de Finibis Bonorum",-45.0,58.0,88.0,
"Cicero, De Inventione",-45.0,22.0,50.0,
"Cicero, de Legibus (on Laws)",-45.0,36.0,79.0,
"Cicero, de Officiis (On Duties)",-44.0,64.0,134.0,
"Cicero, de Oratore (on the Orator)",-55.0,69.0,163.0,
"Cicero, de Republica",-51.0,0.0,0.0,
"Cicero, For Archias",-62.0,26.0,40.0,
"Cicero, For Balbus",-56.0,34.0,70.0,
"Cicero, For Caecina",-69.0,14.0,23.0,
"Cicero, For Caelius",-56.0,9.0,15.0,
"Cicero, For Cluentius",-66.0,30.0,87.0,
"Cicero, For Flaccus",-59.0,46.0,114.0,
"Cicero, For Fonteius",-69.0,14.0,24.0,
"Cicero, For King Deiotarus",-46.0,15.0,21.0,
"Cicero, For Ligarius",-46.0,7.0,10.0,
"Cicero, For Marcellus",-46.0,3.0,3.0,
"Cicero, For Milo",-52.0,20.0,50.0,
"Cicero, For Murena",-63.0,26.0,41.0,
"Cicero, For Plancius",-54.0,31.0,50.0,
"Cicero, For Quinctius",-81.0,7.0,20.0,
"Cicero, For Rabirius",-63.0,8.0,17.0,
"Cicero, For Rabirius Postumus",-54.0,12.0,22.0,
"Cicero, For Roscius of Ameria",-80.0,14.0,47.0,
"Cicero, For Roscius the Actor",-77.0,2.0,2.0,
"Cicero, For Scaurus",-54.0,26.0,52.0,
"Cicero, For Sestius",-56.0,37.0,76.0,
"Cicero, For Sulla",-62.0,10.0,29.0,
"Cicero, For Tullius",-71.0,2.0,4.0,
"Cicero, Letters to Atticus",-45.0,252.0,1351.0,
"Cicero, Letters to brother Quintus",-45.0,56.0,96.0,
"Cicero, Letters to Brutus",-45.0,22.0,40.0,
"Cicero, Letters to his Friends",-45.0,209.0,772.0,
"Cicero, Nature of the Gods",-45.0,99.0,166.0,
"Cicero, On Divination",-44.0,111.0,273.0,
"Cicero, On his House",-57.0,30.0,70.0,
"Cicero, On the Consular Provinces",-56.0,15.0,30.0,
"Cicero, On the Manilian Law",-66.0,34.0,53.0,
"Cicero, On the Response to the Haruspices",-57.0,28.0,47.0,
"Cicero, Philippics",-43.0,105.0,369.0,
"Cicero, Verrine Orations",-70.0,148.0,1262.0,
"Clement of Alexandria, Exhortations",195.0,156.0,272.0,
"Col. William Leake, Travels in Northern Greece (v. 1-4)",1830.0,712.0,6919.0,
"Col. William Leake, Travels in the Morea (v.1-3)",1830.0,553.0,5841.0,
"Columella, De Re Rustica",50.0,69.0,120.0,
"Conon, Narrations (Photius)",-1.0,147.0,245.0,
"Cosmas Indicopleustes, Christian Topography",550.0,66.0,201.0,
D Scholia to the Iliad,350.0,0.0,0.0,
Delphic Theorodochoi Inscription,-230.0,284.0,316.0,
"Demades, Speech on Twelve Years",-326.0,13.0,34.0,
"Demosthenes 1, Olynthiac 1",-349.0,18.0,52.0,
"Demosthenes 11, Reply to Philip",-350.0,15.0,31.0,
