Name,Period,Teacher,School,School 2,Notes
Aristo of Ceos,3rd / 2nd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Aristo of Chios,4th / 3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Aristoclea,fl. 6th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Aristocles of Messene,1st century AD?,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Aristocreon,3rd / 2nd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Aristotle of Cyrene,4th / 3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cyrenaic,,
Aristotle of Mytilene,2nd century AD,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Aristoxenus,4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Arius Didymus,1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Asclepiades of Phlius,4th / 3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Eretrian,,
Asclepiades the Cynic,4th century AD,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Aspasius,2nd century AD,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Athenaeus of Seleucia,1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Athenodoros Cananites,1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Athenodoros Cordylion,2nd /1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Athenodorus of Soli,3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Attalus,1st century BC / 1st century AD,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Batis of Lampsacus,3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Boethus of Sidon,1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Boethus of Sidon (Stoic),2nd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Bolus of Mendes,fl. 3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Brontinus,fl. 6th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Bryson of Achaea,fl. 330 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Callicles,5th century BCE,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist?,,
Calliphon,2nd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Calliphon of Croton,6th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Callistratus,fl. 3rd century AD,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Carneiscus,c. 300 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Cebes,c. 430–350 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Celsus,2nd century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Cercidas,3rd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Cercops,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Chaerephon,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Socratic,,
Chamaeleon,350-275 B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Chrysanthius,fl. 4th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonic,,
Chrysippus,279-206 B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Cleanthes,330-230 B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Clearchus of Soli,4th-3rd century B.C. (fl. 320 B.C.),"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Cleinias of Tarentum,4th century B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Cleomedes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Cleomenes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Clinomachus,4th century B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Colotes,320-268 B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Crates of Mallus,fl. 2nd century B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Crates of Thebes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Cratippus of Pergamon,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Cratylus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Ephesian,,
Crescens the Cynic,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Crinis,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Critolaus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Cronius,fl. 2nd century A.D.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neopythagorean,,
Damis,1st-2nd century A.D.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neopythagorean,,
Demetrius Lacon,fl. late 2nd century B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Demetrius Phalereus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Demetrius the Cynic,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Democrates,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean?,,
Democritus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.","Presocratic, Atomist",,
Demonax,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Diagoras of Melos,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Dicaearchus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Dio Chrysostom,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Diodorus Cronus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Diodorus of Aspendus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Diodorus of Tyre,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Diodotus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Diogenes of Apollonia,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Presocratic,,
Diogenes of Babylon,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Diogenes of Oenoanda,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Diogenes of Seleucia,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Diogenes of Sinope,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Diogenes of Tarsus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Dionysius of Chalcedon,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Dionysius of Cyrene,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Dionysius of Lamptrai,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Diotima of Mantinea,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Diotimus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Echecrates,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Ecphantus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Empedocles,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.","Presocratic, Pluralist",,
Epicharmus of Kos,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Eubulides,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Euclid of Megara,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Eudemus of Rhodes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Eudorus of Alexandria,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Euenus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Euphantus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Euphraeus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Euphrates,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Eurytus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Favorinus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academic skeptic,,
Geminus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Gorgias,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Hecataeus of Abdera,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pyrrhonist,,
Hecato of Rhodes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Hegesias of Cyrene,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cyrenaic,,
Heraclides Lembus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Heraclius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Herillus of Carthage,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Hermagoras of Amphipolis,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Hermarchus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Herminus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Hermippus of Smyrna,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Hermotimus of Clazomenae,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Hicetas,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Hierocles (Stoic),,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Hieronymus of Rhodes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Himerius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Hipparchia of Maroneia,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Hippasus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Hippias,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Hippo,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Presocratic,,
Horus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Ichthyas,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Idomeneus of Lampsacus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Ion of Chios,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Jason of Nysa,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Leonteus of Lampsacus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Leontion,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Leucippus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.","Presocratic, Atomist",,
Lyco of Iasos,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Lyco of Troas,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Lycophron,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Lysis of Taras,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Meleager of Gadara,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Melissus of Samos,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.","Presocratic, Eleatic",,
Menedemus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Eretrian,,
Menedemus the Cynic,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Menippus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Metrocles,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Metrodorus of Athens,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Metrodorus of Chios,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Atomist,,
Metrodorus of Cos,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Metrodorus of Lampsacus (the elder),,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Presocratic,,
Metrodorus of Lampsacus (the younger),,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Mnesarchus of Athens,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Moderatus of Gades,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neopythagorean,,
Monimus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Myia,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Nausiphanes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Atomist,,
Nicarete of Megara,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Nicolaus of Damascus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Nicomachus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neopythagorean,,
Nicomachus (son of Aristotle),,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Ocellus Lucanus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Oenomaus of Gadara,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Olympiodorus the Elder,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Onatas,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Panaetius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Pancrates of Athens,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Panthoides,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Pasicles of Thebes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Patro the Epicurean,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Peregrinus Proteus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Persaeus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Phaedrus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Phanias of Eresus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Phanto of Phlius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Philiscus of Aegina,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Philiscus of Thessaly,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Philo,20 BC - 50 AD,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,,
Philo the Dialectician,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Philodemus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Philolaus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Philonides of Laodicea,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Philostratus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Phintys,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Plotinus,c. 204 – 270,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonic,,
Plutarch,c. 46 – 120,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,,
Polemarchus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Polemon of Athens,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Polemon of Laodicea,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Polus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Polyaenus of Lampsacus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Polystratus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Posidonius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Potamo of Alexandria,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Eclecticism,,
Praxiphanes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Proclus Mallotes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Proclus of Laodicea,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Prodicus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Protagoras,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Ptolemy-el-Garib,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Pythagoras,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Sallustius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonic,,
Sallustius of Emesa,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Satyrus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Secundus the Silent,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Sextus Empiricus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pyrrhonist,,
Sextus of Chaeronea,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Simmias of Thebes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Simon the Shoemaker,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Socratic,,
Siro,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Sosigenes,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Sotion,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neopythagorean,,
Speusippus,c. 407 BC – 339 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academic,,
Sphaerus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
Stilpo,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Strato of Lampsacus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Telauges,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Telecles of Phocis,died 167/166 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academic skeptic,,
Teles the Cynic,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Theagenes of Patras,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cynic,,
Theano,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Themista of Lampsacus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Epicurean,,
Themistius,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonic,,
Theodorus the Atheist,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Cyrenaic,,
Theon of Smyrna,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neopythagorean,,
Theophrastus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Thrasymachus,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Thrasymachus of Corinth,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Megarian,,
Timaeus of Locri,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Timon,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pyrrhonist,,
Timycha,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pythagorean,,
Tisias,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Sophist,,
Xenarchus of Seleucia,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Peripatetic,,
Xeniades,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Pyrrhonist,,
Xenophon,,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",,,
Zeno of Tarsus,fl. 200 B.C.,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Stoic,,
