Name,Period,Teacher,School,School 2,Notes
Dexippus,fl. 350,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Dio of Alexandria,fl. 1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",New Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Diocles of Cnidus,fl. 3rd or 2nd century BC?,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Diodorus of Adramyttium,fl. 1st century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",New Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Domninus of Larissa,c. 420 – c. 480,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Erastus of Scepsis,fl. 4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Euaeon of Lampsacus,fl. 4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Eudoxus of Cnidus,410/408 BC – 355/347 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Eusebius of Myndus,fl. 4th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Eustathius of Cappadocia,c. 400,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Evander,fl. c. 215 – c. 205,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Gaius the Platonist,fl. 2nd century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Hagnon of Tarsus,fl. 2nd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",New Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Hegesinus of Pergamon,fl. c. 160 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Academy,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Hegias,fl. c. 500,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space."
Heliodorus of Alexandria,fl. 5th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Heraclides of Aenus,fl. 4th century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Heraclides Ponticus,387 BC – 312 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Hermias,born c. 410 – died c. 450,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Hermodorus of Syracuse,fl. 4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Hestiaeus of Perinthus,fl. 4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Hierius,fl c. 500,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Hierocles of Alexandria,fl. c. 430,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Hypatia of Alexandria,born 350-370 – 415,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Iamblichus Chalcidensis,c. 245 – c. 325,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Isidore of Alexandria,fl. c. 475,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Lacydes of Cyrene,before 241 – c. 205 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Academy,Platonic,
Lastheneia of Mantinea,fl. 4th century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Marinus of Neapolis,born c. 450,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Maximus of Ephesus,died 372,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Maximus of Tyre,fl. 2nd century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Menedemus of Pyrrha,fl. c. 350 BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Academy,Platonic,
Metrodorus of Stratonicea,fl. 2nd century BC,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",New Academy,Platonic,
Numenius of Apamea,fl. c. 275,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Nymphidianus of Smyrna,fl. c. 360,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Olympiodorus the Younger,c. 495 – 570,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
Onasander,fl. 1st century,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Middle Platonist,Platonic,
Origen,c. 184 – c. 253,"[GPT ERROR] Error: The model ""gpt-3.5-turbo"" is disabled in this space.",Neoplatonist,Platonic,
